Date,Symbol,Open,High,Low,Close,Adj Close,Volume
6/12/2014,AAPL,94.040001,94.120003,91.900002,92.290001,85.873611,54749000
6/13/2014,AAPL,92.199997,92.440002,90.879997,91.279999,84.933846,54525000
6/16/2014,AAPL,91.510002,92.75,91.449997,92.199997,85.789871,35561000
6/17/2014,AAPL,92.309998,92.699997,91.800003,92.080002,85.678207,29726000
6/18/2014,AAPL,92.269997,92.290001,91.349998,92.18,85.771263,33514000
6/19/2014,AAPL,92.290001,92.300003,91.339996,91.860001,85.473503,35528000
6/20/2014,AAPL,91.849998,92.550003,90.900002,90.910004,84.589569,100898000
6/23/2014,AAPL,91.32,91.620003,90.599998,90.830002,84.515114,43694000
6/24/2014,AAPL,90.75,91.739998,90.190002,90.279999,84.003365,39036000
6/25/2014,AAPL,90.209999,90.699997,89.650002,90.360001,84.077789,36869000
6/26/2014,AAPL,90.370003,91.050003,89.800003,90.900002,84.580269,32629000
6/27/2014,AAPL,90.82,92,90.769997,91.980003,85.585167,64029000
6/30/2014,AAPL,92.099998,93.730003,92.089996,92.93,86.469116,49482300
7/1/2014,AAPL,93.519997,94.07,93.129997,93.519997,87.018105,38223000
7/2/2014,AAPL,93.870003,94.059998,93.089996,93.480003,86.980873,28465000
7/3/2014,AAPL,93.669998,94.099998,93.199997,94.029999,87.49263,22891800
7/7/2014,AAPL,94.139999,95.989998,94.099998,95.970001,89.297775,56468000
7/8/2014,AAPL,96.269997,96.800003,93.919998,95.349998,88.720863,65222000
7/9/2014,AAPL,95.440002,95.949997,94.760002,95.389999,88.758087,36436000
7/10/2014,AAPL,93.760002,95.550003,93.519997,95.040001,88.432434,39686000
7/11/2014,AAPL,95.360001,95.889999,94.860001,95.220001,88.599915,34018000
7/14/2014,AAPL,95.860001,96.889999,95.650002,96.449997,89.744392,42810000
7/15/2014,AAPL,96.800003,96.849998,95.029999,95.32,88.692963,45477900
7/16/2014,AAPL,96.970001,97.099998,94.739998,94.779999,88.190491,53396300
7/17/2014,AAPL,95.029999,95.279999,92.57,93.089996,86.618011,57298000
7/18/2014,AAPL,93.620003,94.739998,93.019997,94.43,87.864822,49988000
7/21/2014,AAPL,94.989998,95,93.720001,93.940002,87.408913,39079000
7/22/2014,AAPL,94.68,94.889999,94.120003,94.720001,88.134674,55197000
7/23/2014,AAPL,95.419998,97.879997,95.169998,97.190002,90.432945,92918000
7/24/2014,AAPL,97.040001,97.32,96.419998,97.029999,90.284065,45729000
7/25/2014,AAPL,96.849998,97.839996,96.639999,97.669998,90.87957,43469000
7/28/2014,AAPL,97.82,99.239998,97.550003,99.019997,92.135719,55318000
7/29/2014,AAPL,99.330002,99.440002,98.25,98.379997,91.540215,43143000
7/30/2014,AAPL,98.440002,98.699997,97.669998,98.150002,91.326195,33010000
7/31/2014,AAPL,97.160004,97.449997,95.330002,95.599998,88.953499,56843000
